,cod_cliente,primeiro_nome_x,ultimo_nome_x,email_x,tipo_cliente,data_inclusao,cpfcnpj,data_nascimento_x,endereco_x,cep_x,cod_proposta,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta,primeiro_nome_y,ultimo_nome_y,email_y,cpf,data_nascimento_y,endereco_y,cep_y,cod_agencia,nome,endereco,cidade,uf,data_abertura,tipo_agencia
10,743,Clara,Dias,rafaelcorreia@example.org,PF,2019-05-06 11:39:00 UTC,589.237.610-95,1978-01-27,"Colônia Thomas Silva, 9 Tupi B 15771-946 Fernandes / SP",19615792,620.0,53.0,2011-05-22 07:28:55 UTC,0.0135,112992.92496983186,144872.96,31880.035030168136,7113.017653595757,18.0,0.0,Aprovada,Helena,Lopes,antoniomonteiro@example.org,928.706.341-96,1990-10-08,"Área Enrico Caldeira, 9 Santa Cecilia 37808172 Rocha da Prata / PB",48143-984,6.0,Agência Rio de Janeiro,"R. Sen. Dantas, 15 - Centro, Rio de Janeiro - RJ, 20031-202",Rio de Janeiro,RJ,2015-04-01,Física
11,743,Clara,Dias,rafaelcorreia@example.org,PF,2019-05-06 11:39:00 UTC,589.237.610-95,1978-01-27,"Colônia Thomas Silva, 9 Tupi B 15771-946 Fernandes / SP",19615792,1575.0,88.0,2010-08-24 06:02:33 UTC,0.0234,55364.14647446115,69378.04,14013.893525538842,2146.4855805759807,40.0,4.0,Validação documentos,João Gabriel,Lima,luiz-otaviorezende@example.org,967.082.451-67,1994-10-19,"Trevo Murilo Ramos, 92 São Benedito 73615-597 Moura da Mata / RR",24224-305,3.0,Agência Campinas,"Av. Francisco Glicério, 895 - Vila Lidia, Campinas - SP, 13012-000",Campinas,SP,2012-03-04,Física
12,769,André,Dias,danilo33@example.org,PF,2017-01-07 14:53:00 UTC,459.608.721-02,1990-08-25,"Rua Correia, 889 Diamante 59123250 Aragão / RS",01672838,1876.0,31.0,2015-08-19 02:41:58 UTC,0.0082,74808.23512438923,91810.14,17001.904875610777,1012.5307103321138,114.0,1.0,Enviada,Joaquim,Pires,laispeixoto@example.org,104.263.875-62,1978-06-12,"Loteamento de Peixoto, 42 Aparecida 7ª Seção 72660123 Nunes / SE",51569-010,1.0,Agência Matriz,"Av. Paulista, 1436 - Cerqueira César, São Paulo - SP, 01310-916",São Paulo,SP,2010-01-01,Física
13,769,André,Dias,danilo33@example.org,PF,2017-01-07 14:53:00 UTC,459.608.721-02,1990-08-25,"Rua Correia, 889 Diamante 59123250 Aragão / RS",01672838,1325.0,65.0,2015-12-14 14:03:55 UTC,0.0206,25004.748468869304,46782.48,21777.7315311307,1289.793272205923,25.0,0.0,Em análise,Sabrina,Silva,luiz-gustavo49@example.org,652.307.918-02,1990-02-15,"Lago Costela, 31 Conjunto Santa Maria 75957-012 Azevedo / PE",75913-235,2.0,Agência Tatuapé,"Praça Sílvio Romero, 158 - Tatuapé, São Paulo - SP, 03323-000",São Paulo,SP,2010-06-14,Física
14,769,André,Dias,danilo33@example.org,PF,2017-01-07 14:53:00 UTC,459.608.721-02,1990-08-25,"Rua Correia, 889 Diamante 59123250 Aragão / RS",01672838,1840.0,28.0,2022-11-09 21:15:07 UTC,0.0207,133660.49850055372,197742.96,64082.46149944628,4724.381745523744,43.0,3.0,Validação documentos,Alexandre,Nascimento,olivia97@example.org,719.360.824-03,1992-01-12,"Aeroporto Maria Cecília Rocha, 39 Serra Do Curral 08025-854 Cardoso da Praia / MA",42178150,2.0,Agência Tatuapé,"Praça Sílvio Romero, 158 - Tatuapé, São Paulo - SP, 03323-000",São Paulo,SP,2010-06-14,Física
15,824,Heloísa,Dias,alanadias@example.org,PF,2016-01-07 12:26:00 UTC,536.981.240-33,1967-05-12,"Favela de da Mata, 3 Conjunto Novo Dom Bosco 77145256 Vieira / MS",07814-131,488.0,60.0,2011-05-05 11:22:58 UTC,0.0185,73995.03710651037,96178.01,22182.972893489616,1687.09800440621,91.0,6.0,Em análise,Sabrina,Fernandes,pedro82@example.net,643.508.219-70,1993-09-18,"Conjunto Sofia Azevedo, 44 Ipe 31209677 Costela de Araújo / MA",24300799,5.0,Agência Porto Alegre,"Av. Bento Gonçalves, 1924 - Partenon, Porto Alegre - RS, 90650-000",Porto Alegre,RS,2013-12-01,Física
16,824,Heloísa,Dias,alanadias@example.org,PF,2016-01-07 12:26:00 UTC,536.981.240-33,1967-05-12,"Favela de da Mata, 3 Conjunto Novo Dom Bosco 77145256 Vieira / MS",07814-131,378.0,70.0,2020-11-23 03:22:45 UTC,0.021,149166.60374972987,195978.09,46811.486250270136,152299.10242847484,1.0,2.0,Em análise,Paulo,Cavalcanti,silveiraalicia@example.net,805.124.379-04,1966-08-18,"Rodovia Igor Moura, 41 Atila De Paiva 22036-616 Pereira / SC",79567620,2.0,Agência Tatuapé,"Praça Sílvio Romero, 158 - Tatuapé, São Paulo - SP, 03323-000",São Paulo,SP,2010-06-14,Física
17,884,Maria Julia,Dias,alvesmariana@example.net,PF,2017-08-06 11:01:00 UTC,150.438.926-33,1950-12-10,"Esplanada Maria Luiza Ribeiro, 4 Conjunto Califórnia Ii 13748392 Moraes / ES",90221-380,779.0,62.0,2018-09-14 15:19:45 UTC,0.024,91456.68702617793,137939.39,46482.70297382211,3160.461305339896,50.0,3.0,Em análise,Arthur,Campos,oviana@example.org,381.657.092-59,1973-12-28,"Conjunto Alves, 8 Santa Amelia 36469-502 da Mota do Amparo / BA",16596-292,1.0,Agência Matriz,"Av. Paulista, 1436 - Cerqueira César, São Paulo - SP, 01310-916",São Paulo,SP,2010-01-01,Física
18,899,Arthur,Dias,castropedro-lucas@example.net,PF,2021-10-17 13:00:00 UTC,509.481.762-02,1953-02-26,"Ladeira Elisa da Rocha, 69 João Pinheiro 13964-513 Araújo da Prata / PB",44875-244,1931.0,53.0,2011-04-28 12:55:00 UTC,0.0238,37488.75676321612,74713.76,37225.00323678387,1028.251038498949,86.0,6.0,Enviada,Helena,Lopes,antoniomonteiro@example.org,928.706.341-96,1990-10-08,"Área Enrico Caldeira, 9 Santa Cecilia 37808172 Rocha da Prata / PB",48143-984,6.0,Agência Rio de Janeiro,"R. Sen. Dantas, 15 - Centro, Rio de Janeiro - RJ, 20031-202",Rio de Janeiro,RJ,2015-04-01,Física
19,899,Arthur,Dias,castropedro-lucas@example.net,PF,2021-10-17 13:00:00 UTC,509.481.762-02,1953-02-26,"Ladeira Elisa da Rocha, 69 João Pinheiro 13964-513 Araújo da Prata / PB",44875-244,1253.0,99.0,2014-02-04 03:34:28 UTC,0.0103,153132.1612978722,187128.35,33996.188702127794,3995.5657959447462,49.0,2.0,Aprovada,Fernando,Costela,osilveira@example.net,492.758.103-97,1963-11-24,"Praça de Duarte, 5 Santa Rosa 84418424 Cardoso de Carvalho / RO",15164977,10.0,Agência Recife,"Av. Conselheiro Aguiar, 4432 - Boa Viagem, Recife - PE, 51021-020",Recife,PE,2021-10-09,Física
20,908,Vitor Gabriel,Dias,acardoso@example.com,PF,2021-04-02 10:22:00 UTC,158.406.379-39,1948-03-25,"Passarela Lucca Castro, 73 Vila Paris 99268696 Farias / BA",42603-833,1095.0,15.0,2021-09-16 20:13:33 UTC,0.015,19128.14851915141,37501.87,18373.721480848588,462.7279369644898,65.0,5.0,Validação documentos,Joana,Rodrigues,erodrigues@example.net,480.756.921-01,1968-05-21,"Esplanada de Almeida, 720 Manacas 89334474 Cardoso de Cunha / MT",92472266,2.0,Agência Tatuapé,"Praça Sílvio Romero, 158 - Tatuapé, São Paulo - SP, 03323-000",São Paulo,SP,2010-06-14,Física
22,5,Daniela,Lima,yago42@example.net,PF,2015-01-14 11:53:00 UTC,071.259.643-70,1994-03-04,"Lago de Moraes, 592 Mirtes 10935-233 Nascimento de Peixoto / AL",96027-142,436.0,65.0,2012-08-13 15:40:27 UTC,0.0196,156438.83652235483,211631.9,55193.06347764517,6781.639781671055,31.0,0.0,Aprovada,Sabrina,Silva,luiz-gustavo49@example.org,652.307.918-02,1990-02-15,"Lago Costela, 31 Conjunto Santa Maria 75957-012 Azevedo / PE",75913-235,2.0,Agência Tatuapé,"Praça Sílvio Romero, 158 - Tatuapé, São Paulo - SP, 03323-000",São Paulo,SP,2010-06-14,Física
23,5,Daniela,Lima,yago42@example.net,PF,2015-01-14 11:53:00 UTC,071.259.643-70,1994-03-04,"Lago de Moraes, 592 Mirtes 10935-233 Nascimento de Peixoto / AL",96027-142,1301.0,85.0,2014-05-22 09:44:17 UTC,0.0196,152921.38269296207,208821.59,55900.207307037934,10664.144118737466,17.0,1.0,Aprovada,Pedro Lucas,Rocha,pauloribeiro@example.org,305.687.219-77,1991-12-07,"Fazenda Pedro Miguel Vieira, 714 São Salvador 88997-693 Viana da Mata / RR",12941395,7.0,Agência Digital,"Av. Paulista, 1436 - Cerqueira César, São Paulo - SP, 01310-916",São Paulo,SP,2015-08-01,Digital
24,5,Daniela,Lima,yago42@example.net,PF,2015-01-14 11:53:00 UTC,071.259.643-70,1994-03-04,"Lago de Moraes, 592 Mirtes 10935-233 Nascimento de Peixoto / AL",96027-142,868.0,21.0,2010-10-30 04:10:42 UTC,0.009,95588.57211433614,173050.34,77461.76788566385,1403.065110536431,106.0,3.0,Validação documentos,Rafaela,Correia,vitor-hugosales@example.org,390.752.168-40,1973-03-24,"Chácara de Barbosa, 29 Engenho Nogueira 03345703 Cunha do Oeste / SP",03927-555,5.0,Agência Porto Alegre,"Av. Bento Gonçalves, 1924 - Partenon, Porto Alegre - RS, 90650-000",Porto Alegre,RS,2013-12-01,Física
25,5,Daniela,Lima,yago42@example.net,PF,2015-01-14 11:53:00 UTC,071.259.643-70,1994-03-04,"Lago de Moraes, 592 Mirtes 10935-233 Nascimento de Peixoto / AL",96027-142,1320.0,53.0,2012-12-19 17:27:53 UTC,0.0159,59852.05156367658,79229.78,19377.728436323418,2592.2057171920005,29.0,5.0,Validação documentos,Helena,Lopes,antoniomonteiro@example.org,928.706.341-96,1990-10-08,"Área Enrico Caldeira, 9 Santa Cecilia 37808172 Rocha da Prata / PB",48143-984,6.0,Agência Rio de Janeiro,"R. Sen. Dantas, 15 - Centro, Rio de Janeiro - RJ, 20031-202",Rio de Janeiro,RJ,2015-04-01,Física
26,262,João Lucas,Lima,brunaduarte@example.org,PF,2019-10-19 11:14:00 UTC,358.702.964-47,1950-10-17,"Rua João Lucas Freitas, 46 Vila Nova Cachoeirinha 2ª Seção 97602-589 Castro de Goiás / AC",29942-354,644.0,23.0,2014-05-30 21:29:15 UTC,0.0187,4841.478867763136,6072.16,1230.6811322368635,197.93113917251688,33.0,6.0,Aprovada,Elisa,Fogaça,qjesus@example.net,579.816.234-64,1988-08-16,"Campo João Barros, 99 Providencia 47135-118 Melo de Lima / ES",12605284,1.0,Agência Matriz,"Av. Paulista, 1436 - Cerqueira César, São Paulo - SP, 01310-916",São Paulo,SP,2010-01-01,Física
27,281,Enrico,Lima,fernandesbryan@example.net,PF,2016-06-27 15:06:00 UTC,180.746.392-31,1978-01-15,"Praia Isabelly Martins, 7 Morro Dos Macacos 27993489 da Mota do Amparo / MS",97628-818,321.0,54.0,2017-08-04 08:51:16 UTC,0.0189,171606.1877856839,247171.16,75564.9722143161,3807.2428429519346,102.0,5.0,Aprovada,João Gabriel,Sales,emanuella17@example.net,784.290.531-23,1985-04-23,"Ladeira de Viana, 1 Conjunto Capitão Eduardo 97321062 Dias / BA",16683185,6.0,Agência Rio de Janeiro,"R. Sen. Dantas, 15 - Centro, Rio de Janeiro - RJ, 20031-202",Rio de Janeiro,RJ,2015-04-01,Física
28,352,Carolina,Lima,maria-sophiacardoso@example.com,PF,2022-06-05 14:12:00 UTC,658.079.314-75,1948-07-19,"Trecho de Campos, 54 Cônego Pinheiro 1ª Seção 77765-955 Novaes / AP",57113-154,565.0,55.0,2012-11-22 13:31:39 UTC,0.0236,149014.97482895016,190769.05,41754.07517104984,4216.461298872634,77.0,3.0,Aprovada,Ana Sophia,da Mota,pedro-henrique85@example.com,205.719.486-85,1997-05-16,"Conjunto de Nascimento, 138 Marçola 26018227 Viana / RO",79292091,5.0,Agência Porto Alegre,"Av. Bento Gonçalves, 1924 - Partenon, Porto Alegre - RS, 90650-000",Porto Alegre,RS,2013-12-01,Física
29,352,Carolina,Lima,maria-sophiacardoso@example.com,PF,2022-06-05 14:12:00 UTC,658.079.314-75,1948-07-19,"Trecho de Campos, 54 Cônego Pinheiro 1ª Seção 77765-955 Novaes / AP",57113-154,1040.0,96.0,2016-08-11 18:19:52 UTC,0.019,77344.5402187279,127506.91,50162.3697812721,1920.323841789292,77.0,0.0,Em análise,Gustavo,Martins,emilly44@example.com,790.245.683-74,1995-09-02,"Largo de das Neves, 1 Nova Esperança 60391950 Monteiro de da Rocha / CE",97215561,2.0,Agência Tatuapé,"Praça Sílvio Romero, 158 - Tatuapé, São Paulo - SP, 03323-000",São Paulo,SP,2010-06-14,Física
30,387,Isaac,Lima,nicolecardoso@example.com,PF,2014-02-08 13:28:00 UTC,869.103.725-30,1945-07-22,"Chácara Pietra Nascimento, 7 Apolonia 81600-416 Novaes das Pedras / AL",26119706,751.0,78.0,2013-01-04 04:54:44 UTC,0.0179,10569.279052888183,12704.21,2134.930947111815,511.98015799298247,26.0,2.0,Validação documentos,João Felipe,Ferreira,fernando53@example.org,369.428.710-87,1976-09-12,"Favela Barros, 28 Nazare 98329-395 Caldeira do Norte / GO",83982-409,3.0,Agência Campinas,"Av. Francisco Glicério, 895 - Vila Lidia, Campinas - SP, 13012-000",Campinas,SP,2012-03-04,Física
31,522,João Lucas,Lima,barbosamariana@example.org,PF,2016-11-05 13:26:00 UTC,740.963.251-80,1990-05-05,"Avenida Mariana Rezende, 42 Fernão Dias 25175-265 Ramos / DF",80317732,467.0,22.0,2010-04-07 07:20:32 UTC,0.0178,150255.60479496623,222421.41,72165.80520503377,9829.546738512563,18.0,6.0,Enviada,Davi Luiz,Sales,leticia48@example.org,192.058.346-70,1979-01-07,"Loteamento de Fogaça, 485 Vila Fumec 29814669 Gonçalves do Oeste / DF",60281-719,2.0,Agência Tatuapé,"Praça Sílvio Romero, 158 - Tatuapé, São Paulo - SP, 03323-000",São Paulo,SP,2010-06-14,Física
32,522,João Lucas,Lima,barbosamariana@example.org,PF,2016-11-05 13:26:00 UTC,740.963.251-80,1990-05-05,"Avenida Mariana Rezende, 42 Fernão Dias 25175-265 Ramos / DF",80317732,405.0,49.0,2019-04-24 01:38:15 UTC,0.0142,21740.286887922255,34760.37,13020.083112077742,439.3976237273968,86.0,5.0,Em análise,Pietra,Caldeira,gustavo-henriquecastro@example.com,725.083.916-03,1977-08-06,"Travessa Laura Monteiro, 7 Grota 92672446 Porto / AL",36084-897,3.0,Agência Campinas,"Av. Francisco Glicério, 895 - Vila Lidia, Campinas - SP, 13012-000",Campinas,SP,2012-03-04,Física
33,522,João Lucas,Lima,barbosamariana@example.org,PF,2016-11-05 13:26:00 UTC,740.963.251-80,1990-05-05,"Avenida Mariana Rezende, 42 Fernão Dias 25175-265 Ramos / DF",80317732,316.0,54.0,2016-04-28 00:29:52 UTC,0.0248,69030.05520623697,98722.47,29692.414793763037,2275.0020886552616,57.0,1.0,Em análise,João Gabriel,Sales,emanuella17@example.net,784.290.531-23,1985-04-23,"Ladeira de Viana, 1 Conjunto Capitão Eduardo 97321062 Dias / BA",16683185,6.0,Agência Rio de Janeiro,"R. Sen. Dantas, 15 - Centro, Rio de Janeiro - RJ, 20031-202",Rio de Janeiro,RJ,2015-04-01,Física
34,522,João Lucas,Lima,barbosamariana@example.org,PF,2016-11-05 13:26:00 UTC,740.963.251-80,1990-05-05,"Avenida Mariana Rezende, 42 Fernão Dias 25175-265 Ramos / DF",80317732,412.0,98.0,2010-02-14 07:18:42 UTC,0.0126,112488.55939032022,193436.68,80948.12060967978,3743.50193777986,38.0,5.0,Validação documentos,Alana,Castro,rodrigo08@example.org,825.140.697-85,1964-03-06,"Trecho de da Paz, 27 Conjunto Taquaril 72170-264 Pinto / MS",36787-854,3.0,Agência Campinas,"Av. Francisco Glicério, 895 - Vila Lidia, Campinas - SP, 13012-000",Campinas,SP,2012-03-04,Física
35,729,Benjamin,Lima,kaiquepeixoto@example.net,PF,2020-08-21 10:13:00 UTC,095.421.876-02,1956-08-05,"Avenida Luna Correia, 67 Outro 07065604 Correia / SP",77226042,286.0,63.0,2012-02-05 11:08:38 UTC,0.0159,110304.50643343476,198967.85,88663.34356656524,2349.3983464301455,87.0,5.0,Aprovada,Ana Clara,Moraes,vitoriagomes@example.org,291.847.506-85,1981-05-08,"Favela de Oliveira, 514 Vila Nova Gameleira 3ª Seção 04170-829 Teixeira do Campo / CE",74407700,2.0,Agência Tatuapé,"Praça Sílvio Romero, 158 - Tatuapé, São Paulo - SP, 03323-000",São Paulo,SP,2010-06-14,Física
36,729,Benjamin,Lima,kaiquepeixoto@example.net,PF,2020-08-21 10:13:00 UTC,095.421.876-02,1956-08-05,"Avenida Luna Correia, 67 Outro 07065604 Correia / SP",77226042,1675.0,73.0,2021-07-19 11:14:53 UTC,0.0226,154071.5875692832,208040.39,53968.8024307168,9296.03098472458,21.0,1.0,Aprovada,Lucas Gabriel,da Costa,sophie99@example.net,749.536.012-70,1977-03-08,"Conjunto Melo, 64 Vila Nova Gameleira 3ª Seção 99419458 Duarte Alegre / AC",80265890,4.0,Agência Osasco,"Av. Antônio Carlos Costa, 1000 - Bela Vista, Osasco - SP, 06053-014",Osasco,SP,2013-11-06,Física
37,729,Benjamin,Lima,kaiquepeixoto@example.net,PF,2020-08-21 10:13:00 UTC,095.421.876-02,1956-08-05,"Avenida Luna Correia, 67 Outro 07065604 Correia / SP",77226042,201.0,9.0,2010-03-02 07:15:51 UTC,0.0134,12337.3547837352,18284.34,5946.9852162648,254.100357721032,79.0,1.0,Em análise,Diego,Peixoto,valentinada-rocha@example.net,367.528.901-02,1969-04-01,"Sítio Maria Eduarda Pires, 8 Antonio Ribeiro De Abreu 1ª Seção 50991-334 Nogueira da Prata / BA",77896-815,5.0,Agência Porto Alegre,"Av. Bento Gonçalves, 1924 - Partenon, Porto Alegre - RS, 90650-000",Porto Alegre,RS,2013-12-01,Física
38,729,Benjamin,Lima,kaiquepeixoto@example.net,PF,2020-08-21 10:13:00 UTC,095.421.876-02,1956-08-05,"Avenida Luna Correia, 67 Outro 07065604 Correia / SP",77226042,883.0,92.0,2013-11-11 05:11:43 UTC,0.0098,55137.39145198086,83213.64,28076.24854801913,786.8997223593768,119.0,1.0,Validação documentos,Eduarda,Novaes,da-rochagustavo@example.com,961.452.703-06,1982-12-19,"Lagoa de Costa, 96 Conjunto Minas Caixa 87681-170 da Rosa / PE",54656-513,5.0,Agência Porto Alegre,"Av. Bento Gonçalves, 1924 - Partenon, Porto Alegre - RS, 90650-000",Porto Alegre,RS,2013-12-01,Física
39,887,Kevin,Lima,kamilly26@example.net,PF,2021-02-27 11:43:00 UTC,538.169.047-93,1950-07-09,"Passarela Silva, 4 Vila Nova Cachoeirinha 2ª Seção 92334096 Alves do Oeste / ES",12716-003,913.0,55.0,2014-02-06 21:23:42 UTC,0.0212,79994.52924289947,119144.52,39149.99075710053,3720.963081262292,29.0,3.0,Aprovada,Ana Sophia,da Mota,pedro-henrique85@example.com,205.719.486-85,1997-05-16,"Conjunto de Nascimento, 138 Marçola 26018227 Viana / RO",79292091,5.0,Agência Porto Alegre,"Av. Bento Gonçalves, 1924 - Partenon, Porto Alegre - RS, 90650-000",Porto Alegre,RS,2013-12-01,Física
40,70,Enrico,Melo,pedro-henriqueviana@example.org,PF,2021-02-18 15:23:00 UTC,418.962.035-15,1988-11-08,"Esplanada Rezende, 82 Vila Minaslandia 86011416 Fernandes / SC",37988-526,1113.0,20.0,2021-01-06 05:30:01 UTC,0.0201,71453.78471308728,104460.86,33007.07528691272,1663.614520064261,100.0,4.0,Enviada,Alice,Aragão,pedro-henrique82@example.com,495.278.610-20,1964-09-19,"Núcleo Emanuella Jesus, 621 Vila Jardim Montanhes 66803663 Pires do Campo / RR",23821831,7.0,Agência Digital,"Av. Paulista, 1436 - Cerqueira César, São Paulo - SP, 01310-916",São Paulo,SP,2015-08-01,Digital
